,user_id,total_events,Baja_usuario,events_last_month,total_months,rate_events,age,gender,height,seniors_exercise_level,traits_language_code,os_name,device_type
0,00VjxBSh5SWZtvDuQObqKhuhymH3,63,1,62.0,1,63.0,51.0,1,162.0,1.0,1,1,1
63,00fiXwcWv6WH27m5CzlZhMmJj4r1,90,0,89.0,1,90.0,61.0,1,167.0,2.0,1,3,2
153,01HG47fhPxXGB1IH9TwqCcbuAGv1,25,1,24.0,1,25.0,66.0,1,164.0,1.0,1,1,1
178,01IkDUDtagPFULtB05C9q4TLeAh2,216,0,215.0,1,216.0,69.0,1,159.0,1.0,1,2,2
394,01PH4mMfTReLSovBbVPClTbKQZE3,99,1,7.0,4,24.75,57.0,1,159.0,1.0,1,1,1
493,01RWB5MfkGXVEf6JQiUcG38KAwg1,52,1,51.0,1,52.0,61.0,1,160.0,1.0,1,1,1
545,01YdPSW9nrd6z2BcLvSksN8i4Rq1,69,1,5.0,2,34.5,60.0,1,152.0,1.0,1,1,1
614,01dzuvQGmjZnNdXz6FdtJKXmUk62,18,1,17.0,1,18.0,74.0,0,169.0,1.0,1,1,1
632,01iucqbS7TeUP76hZqmAKx1jIHg1,199,0,198.0,1,199.0,66.0,1,176.0,1.0,2,2,2
831,0200jXVkonhhOjxnB6vEPwCAoyV2,163,0,23.0,3,54.333333333333336,61.0,1,176.0,2.0,2,2,2
994,0264k6OG0vW5eEDvJX1II4Bgbxl1,73,1,72.0,1,73.0,50.0,1,165.0,1.0,1,1,1
1067,02AFjTAuNGOrWbLXGDp3xrBkA1v1,129,1,128.0,1,129.0,61.0,1,162.0,2.0,1,3,2
1196,02EwSnloHTZMAStpcmHiulKy8np2,158,1,157.0,1,158.0,65.0,1,154.0,2.0,1,2,2
1354,02j8jTw7wYQYwokse0cwAC6QxVx2,4,1,3.0,1,4.0,59.0,0,171.0,3.0,1,1,1
1358,02uqm7B7HPTtLHdRH6HS2sCkuUS2,31,1,30.0,1,31.0,78.0,1,173.0,1.0,1,1,1
1389,02vU3xuRa9bW0dibvaziGlOZ9Fm2,28,1,27.0,1,28.0,61.0,1,158.0,1.0,1,1,1
1417,03GzGEPkN0hyf8qiC3ntUquwIBE3,163,1,28.0,2,81.5,70.0,0,178.0,2.0,1,2,2
1580,03wyGWcKmKNramJQKFT3JLB1T1n2,45,1,44.0,1,45.0,59.0,1,169.0,1.0,1,1,1
1625,041KPUZb82S8LiAmRHZRQ43oAis1,359,1,358.0,1,359.0,67.0,1,151.0,2.0,1,1,1
1984,04411yjzMGe0eKlmhl4ENYjqlBq1,123,1,122.0,1,123.0,59.0,1,159.0,2.0,1,2,2
2107,04BaBnnvlNV1CciWCU2vtqWSLDG2,69,1,68.0,1,69.0,68.0,1,168.0,1.0,1,1,1
2176,04em0eCOOYXFLjJOIsuZUAfKn9p1,114,0,113.0,1,114.0,68.0,1,166.0,3.0,1,1,1
2290,052YJ12gQycIkf3thn7jfi311lh1,67,1,66.0,1,67.0,52.0,1,152.0,3.0,1,1,1
2357,05P3Gu6melMXFrGeBBVloTfZ9rm2,172,0,171.0,1,172.0,62.0,1,170.0,2.0,1,2,2
2529,05WNyePvItOMkg5T76U1PPjb18w2,150,1,149.0,1,150.0,51.0,1,164.0,3.0,1,2,2
2679,05fuK1lvc0Z6p4xpmBq5NfQrfAT2,108,1,107.0,1,108.0,60.0,1,164.0,2.0,1,1,1
2787,05gZdWRUQDRJtJrbKWhFn3cFDVo1,69,1,68.0,1,69.0,50.0,1,160.0,1.0,1,1,1
2856,05s1JLcMidVSF5glL6kgbKoo1h12,26,1,25.0,1,26.0,51.0,1,163.0,1.0,1,1,1
2882,05th3s4xQ9bSK1QIfCkMG7eaGpm1,29,1,28.0,1,29.0,80.0,1,167.0,1.0,1,1,1
2911,06IO4gYPF2TJNHUyBrB5Ug7xF542,28,1,27.0,1,28.0,64.0,1,169.0,1.0,2,1,1
2939,071fPYIZePPbV9VCpaQKnUJ4Onp2,53,1,52.0,1,53.0,55.0,1,166.0,1.0,1,1,1
2992,07OASfiYjdePYwGcFgv065Mv3kb2,166,0,165.0,1,166.0,67.0,1,170.0,1.0,1,2,2
3158,07Z8oiNgPWTe4VqObZ4FhF5VJK03,36,1,35.0,1,36.0,51.0,1,165.0,3.0,1,1,1
3194,07kCDttifNVxSurzPURkM77uu9c2,27,1,26.0,1,27.0,65.0,1,167.0,1.0,1,1,1
3221,07tHMKF2R4dfwumEgHUxBzOL9B92,73,1,19.0,4,18.25,50.0,1,155.0,1.0,1,1,1
3294,0830U4STBfPDth7nN2UjxOXU6682,31,1,30.0,1,31.0,61.0,1,160.0,1.0,1,1,1
3325,0842vPuyB8ULgSFKmsgqTYcqDDJ2,30,1,29.0,1,30.0,57.0,1,155.0,1.0,1,1,1
3355,087tlDQzvbhmlx3bhGcvgxMM1Wh1,83,1,82.0,1,83.0,52.0,1,162.0,1.0,1,1,1
3438,08MbWfwzAWbiKxNC5xonFJI1TKP2,2897,0,2896.0,1,2897.0,66.0,0,175.0,2.0,1,2,2
6335,08NKcKhGSHWecHatDzaOH52OQ5R2,101,1,100.0,1,101.0,63.0,1,162.0,2.0,1,1,1
6436,08afHUwN0JYL8cGSdWeoEcQ8J2J2,26,1,25.0,1,26.0,51.0,1,160.0,1.0,1,1,1
6462,08dVhRucbRRfwpAmO3ubMvAU9fh1,40,1,39.0,1,40.0,54.0,1,170.0,1.0,1,1,1
6502,0A0AUnmANWaA4caxKF23cAgEJs52,142,1,141.0,1,142.0,73.0,1,159.0,3.0,1,1,1
6644,0A6Ikh25LJTFHQ25YVfQ3uM91CG2,18,1,17.0,1,18.0,61.0,1,171.0,2.0,1,1,1
6662,0A7W1OgLomQSpeEVHOe4azISXLU2,131,1,130.0,1,131.0,75.0,1,168.0,2.0,1,1,1
6793,0AEUeWLYKBebWYEhQBhIC5kX9Qh1,92,1,91.0,1,92.0,64.0,1,159.0,2.0,1,1,1
6885,0AGvcvbJdAe450az7dtIdoPHXno2,29,1,28.0,1,29.0,55.0,1,161.0,1.0,1,1,1
6914,0ArpZciIU0Mp0ppO3lhzn0f9S1H2,118,1,117.0,1,118.0,60.0,1,172.0,2.0,1,1,1
7032,0B2ITyLEp9NyAkIfsCz90exCaRL2,27,1,26.0,1,27.0,55.0,1,164.0,3.0,1,1,1
7059,0BHPaYKVl6ZwEsOB8TitHhRPjX52,194,0,193.0,1,194.0,65.0,1,157.0,2.0,1,2,2
7253,0BOXEi7wIPVwN6I4SAusOmQxFum2,55,1,54.0,1,55.0,60.0,1,155.0,2.0,1,2,2
7308,0BRE27rVRkMXwn1dEjuSXptjom92,27,1,26.0,1,27.0,64.0,1,167.0,1.0,1,2,2
7335,0BXgvrS8TAcqIx5J3RS3DXipm513,181,1,110.0,3,60.333333333333336,57.0,0,173.0,1.0,1,1,1
7516,0BuVirtTmHNwfifOCyV9hNPir0p1,28,1,27.0,1,28.0,61.0,1,159.0,1.0,1,1,1
7544,0CEDnEmph6QkSnxp6GiaTCwU5e83,206,0,50.0,6,34.333333333333336,53.0,1,158.0,1.0,1,2,2
7750,0CMKPDjySYh5dMeGZaqA8fRUWLK2,35,1,34.0,1,35.0,78.0,1,165.0,1.0,1,1,1
7785,0CYLZfIUZJZfEpbdu1ye2ukbPXH3,91,1,90.0,1,91.0,60.0,1,170.0,2.0,1,1,1
7876,0CcUQ4g54KT11nwDOJP7Gl2kPSI2,62,1,19.0,3,20.666666666666668,61.0,0,172.0,2.0,1,1,1
7938,0CdgEJpC8leokqcJwUNBO1Xl2wg1,27,1,26.0,1,27.0,78.0,1,163.0,1.0,1,1,1
7965,0CpsKiTrSbW7T6RD2LDF1E1URSw1,97,1,96.0,1,97.0,60.0,0,170.0,1.0,1,1,1
8062,0CqnKLPLmyWiO1Sftht8WgMq2ok1,920,0,919.0,1,920.0,75.0,0,172.0,2.0,1,2,2
8982,0DEpzxqpShWQDqMEDZtAUgwc9ne2,110,1,109.0,1,110.0,65.0,1,164.0,1.0,1,1,1
9092,0DuUy4jJkjf9iprI4cqi1KoixYv1,110,0,6.0,2,55.0,60.0,1,162.0,3.0,1,2,2
9202,0EZufeRkXmUCpMViVa5ueQGxIN03,100,1,99.0,1,100.0,68.0,1,162.0,2.0,1,2,2
9302,0EqSU18VxIYmiDqfCsLFyGShISW2,90,1,89.0,1,90.0,64.0,1,163.0,2.0,1,1,1
9392,0EsfsOwoejMqkev2PGSPrnzQ55Y2,50,1,9.0,4,12.5,54.0,1,158.0,1.0,1,1,1
9442,0ExAHCz0GqOhmNfbiD20JIX1F283,52,1,51.0,1,52.0,57.0,1,165.0,1.0,1,1,1
9494,0FXO2YGYh2gzS7NtwnBoD37QJTg2,137,1,136.0,1,137.0,61.0,1,163.0,2.0,1,2,2
9631,0FfwUhabVafHHpBq4ZJcUrhnXx72,28,1,27.0,1,28.0,66.0,1,157.0,1.0,1,1,1
9659,0FuLxf53kqMYEF6x3saPCpu00tx1,34,1,33.0,1,34.0,52.0,1,155.0,1.0,1,1,1
9693,0FvL6AEzpPYL60iV6b7GMV9J4RX2,115,0,114.0,1,115.0,61.0,1,172.0,2.0,1,2,2
9808,0G3Orz4HztVhbcLPk7ZnVTTsWt13,76,1,75.0,1,76.0,66.0,1,170.0,2.0,2,2,2
9884,0G4XPMxWqjW3tzqRveV9Hh1XBYy2,94,1,93.0,1,94.0,62.0,1,167.0,3.0,1,1,1
9978,0G8wcyQ8kPgbG91kDbiWdxdzM7S2,30,1,29.0,1,30.0,62.0,1,171.0,1.0,1,2,2
10008,0GAZmLOVliWjSyf9xtuWYBPWmlu1,159,0,158.0,1,159.0,63.0,1,163.0,1.0,1,3,2
10167,0GBGExfX2jc8nwKWNPGNAXnGIPj2,55,1,54.0,1,55.0,67.0,1,159.0,1.0,1,1,1
10222,0GQ51kcIQMeG8ODcvuODDasrIBv2,26,1,25.0,1,26.0,54.0,1,168.0,1.0,1,1,1
10248,0GS1talcbARgbItDmsvjCbuNvjD2,113,1,112.0,1,113.0,66.0,1,149.0,2.0,1,1,1
10361,0GSPzFY7QONFfFh1CiSChHt7p1y1,122,1,121.0,1,122.0,63.0,1,173.0,2.0,1,2,2
10483,0GtlB34jG4PrNvdVHSwesSM3jq22,131,1,122.0,2,65.5,63.0,1,164.0,1.0,1,2,2
10614,0H3uMrtlRaPJttQJBCsI92dRlkg2,401,0,23.0,2,200.5,68.0,0,172.0,1.0,1,2,2
11015,0HEy9v2U91MpCLz0M5igOIsxHPk2,110,1,109.0,1,110.0,60.0,1,145.0,2.0,1,2,2
11125,0I6dFefws0aR2QCKyuk01cF69IZ2,35,1,34.0,1,35.0,59.0,1,170.0,1.0,1,1,1
11160,0IEnrP2YSYWtxiH75z7W28KXv8Z2,138,0,137.0,1,138.0,60.0,0,176.0,2.0,1,2,2
11298,0IIXfCYwDfUKBr3JyxmgBSYQ7If2,165,0,164.0,1,165.0,62.0,1,124.0,2.0,2,1,1
11463,0INNWTTEiqQGjMDb8B4LR6lZDb83,120,1,119.0,1,120.0,60.0,1,157.0,2.0,2,1,1
11583,0IPVPrfKikhO38NRUcfkj4xbXLr1,118,0,19.0,3,39.333333333333336,61.0,1,161.0,2.0,1,2,2
11701,0In5aqciYGTG5jyyPvCCx7HeGK82,190,0,189.0,1,190.0,79.0,1,155.0,2.0,1,2,2
11891,0J4LFoKDbmRY8hA1vOfefgGv7jD2,47,0,6.0,6,7.833333333333333,62.0,1,159.0,1.0,1,1,1
11938,0JEfWmzUgsTxqBwNVy706NBEPsh2,106,1,105.0,1,106.0,59.0,1,162.0,2.0,2,1,1
12044,0JRlQgPmWuUtvkiDFvfHG1IdfGu2,84,1,83.0,1,84.0,61.0,1,169.0,2.0,2,1,1
12128,0JXR7f6grXdoy49RwpMXH7cTySi2,22,1,21.0,1,22.0,54.0,0,174.0,3.0,1,1,1
12150,0JjkTvwd8Ohz9HbAl11atXyHKPX2,139,0,138.0,1,139.0,60.0,1,170.0,2.0,1,2,2
12289,0JsFCFJcSJMg06cj6Wwr3bJY0iI2,1427,0,65.0,6,237.8333333333333,73.0,1,162.0,1.0,1,1,1
13716,0JtrOasMa2NWb7hdPwHIgiSEBK12,134,1,133.0,1,134.0,64.0,1,152.0,1.0,1,2,2
13850,0Jyvry5rDOeNBshWdzlkQO7yLsh1,129,0,128.0,1,129.0,64.0,1,160.0,1.0,1,1,1
13979,0KGU4je4poP0lSRlWRqk4BJ6g7l1,191,0,189.0,1,191.0,65.0,1,162.0,2.0,1,3,2
14170,0KP25Hll7DbW4lyC1pQ4CUuj3b33,172,1,171.0,1,172.0,75.0,1,170.0,2.0,1,1,1
14342,0Kd3abaYnJfjdP5eHKjDBHYUdO62,118,1,117.0,1,118.0,66.0,1,170.0,1.0,1,1,1
14460,0KfylI5oi2cxKSJjdla6n7SLWtI2,171,0,170.0,1,171.0,61.0,1,162.0,2.0,1,2,2
14631,0Kg7kzhW3PWLWR0jkX0xBKcRyIi2,247,1,11.0,4,61.75,63.0,1,160.0,1.0,1,1,1
14878,0Kn3VpUoUMY82feRBwy3weGjHom1,136,1,135.0,1,136.0,50.0,1,160.0,2.0,1,1,1
15014,0KnY18K0JifQxJmsJjG4j0RQAYm2,128,1,127.0,1,128.0,72.0,1,159.0,2.0,1,1,1
15142,0Ks35Sc9nnQMj80L2BjbfcKZsiw1,57,1,56.0,1,57.0,63.0,1,160.0,1.0,1,1,1
15199,0Kxa78qTXqNYWE5D99UEwAdvjEj1,119,0,118.0,1,119.0,68.0,1,165.0,2.0,1,2,2
15318,0L5DkHlHoNgeRHyyqe7JT9I8XVt1,49,1,48.0,1,49.0,52.0,1,162.0,2.0,1,1,1
15367,0LQoAdJEXHcrPU2BWuW6CDPKK8n2,44,1,43.0,1,44.0,52.0,1,167.0,1.0,1,1,1
15411,0Lxw38ebCvSG2lD7pTpNEPptgfy1,26,1,25.0,1,26.0,59.0,0,169.0,2.0,1,1,1
15437,0LzHYqZokhT1ryNSXAewCcunsrg2,40,1,39.0,1,40.0,68.0,1,176.0,1.0,1,1,1
15477,0MCBNUXURdgtS4kxWVfT0GIQmB42,28,1,27.0,1,28.0,65.0,1,160.0,1.0,1,1,1
15505,0MigNZIb9UdMrog5IKBZjBv7WjA3,100,0,10.0,2,50.0,61.0,1,168.0,2.0,2,2,2
15605,0MkL2qPDQ2MlO0VOCGFyF3pOAMw1,103,1,102.0,1,103.0,65.0,1,164.0,2.0,1,2,2
15708,0Mu3wWse1oNVjDXcjJynfr9SWQi2,35,1,34.0,1,35.0,60.0,1,170.0,2.0,1,1,1
15743,0MzHMWkQlsfML31YSI62ALcSDUE3,44,1,43.0,1,44.0,61.0,1,172.0,1.0,1,1,1
15787,0NK6GLIVdQbaL3D0lfOxaWbdcTF3,103,1,102.0,1,103.0,60.0,1,150.0,2.0,1,1,1
15890,0NL2m5lruyaF9w5KK4IGWjH57zk2,58,1,57.0,1,58.0,74.0,1,168.0,1.0,1,3,2
15948,0NMaRx0VNdOiUc02W7f2GTRlc5B3,146,0,27.0,2,73.0,63.0,1,162.0,2.0,2,1,1
16094,0NzIOBTrgcSEfgAEyNmPjFbTiX12,43,1,42.0,1,43.0,51.0,1,166.0,3.0,1,2,2
16137,0OTx3b7ko8ZFhVjJVFcuAkUdUZx2,158,1,157.0,1,158.0,60.0,1,163.0,1.0,1,2,2
16295,0OYrqUdv1iQMrjNAj5vy9dixkGK2,54,1,53.0,1,54.0,57.0,1,162.0,1.0,1,1,1
16349,0OoBdas1g3U6PA2GoQqyHTbWFWC3,70,1,69.0,2,35.0,69.0,1,158.0,1.0,1,2,2
16419,0OoL8u8cxpZXpfK9gaHsHGjHXsn2,37,1,36.0,1,37.0,77.0,1,163.0,1.0,1,1,1
16456,0OwbfLvBTohmudTI5hWl1Rqji9A2,43,1,42.0,1,43.0,59.0,1,157.0,1.0,1,1,1
16499,0PXpOO9SVESNxb3l1oZ3M5UXSaY2,68,1,67.0,1,68.0,78.0,1,151.0,2.0,1,2,2
16567,0PZhkDvcM0a5tMOhHUsnr2KJaTU2,274,0,273.0,1,274.0,65.0,1,150.0,2.0,1,2,2
16841,0QD3WbnHtGgo1HyLW9j97zLvhiG3,28,1,27.0,1,28.0,62.0,1,166.0,3.0,1,1,1
16869,0QFnpngMC1UMd82AmcfVToV7eB02,28,1,27.0,1,28.0,57.0,1,166.0,1.0,1,1,1
16897,0QGsNa9ArbYaJjn6GbuCez6tuQh1,22,1,21.0,1,22.0,52.0,1,164.0,3.0,1,1,1
16919,0QHIKJRaHeUDrIlERoJqIdCyn9x1,115,1,114.0,1,115.0,73.0,1,160.0,2.0,1,2,2
17034,0QSLvnId6AgL991YkjevYAJoJ6h1,96,1,95.0,1,96.0,61.0,1,168.0,1.0,1,1,1
17130,0R01cRohcOdsNlm8iu3TNgI802k1,37,1,36.0,1,37.0,62.0,1,159.0,3.0,1,2,2
17167,0R5QPeEnhvXBW9adD6zFavvGQrw1,160,0,159.0,1,160.0,61.0,1,150.0,3.0,1,2,2
17327,0R6GeBkjAkaEIigEWOZe37GJvqD3,8,0,7.0,1,8.0,67.0,1,165.0,2.0,1,1,1
17335,0R71q3Ys2fccKIaz0w53UmjiBu42,26,1,25.0,1,26.0,70.0,0,174.0,1.0,1,1,1
17361,0REvyes3hVX1LGHZSCOigYdKcrX2,40,1,39.0,1,40.0,64.0,1,155.0,1.0,1,1,1
17401,0RyJ0J0bBOh1f6Iwrbqm5YHFMYm1,108,1,107.0,1,108.0,66.0,1,160.0,1.0,1,1,1
17509,0RznpuV61AWKqTtxd3XlqbccRgW2,41,1,40.0,1,41.0,61.0,1,166.0,2.0,2,2,2
17550,0SKJg7AY47axkJyVBd4bQeQM3Ga2,59,1,58.0,1,59.0,65.0,1,161.0,1.0,1,2,2
17609,0SmetxG4r8TdXIHXs86fdw5rWf02,66,1,65.0,1,66.0,68.0,1,159.0,1.0,1,2,2
17675,0SqU6rgmnrMm81iW4O3tlELza0d2,39,1,2.0,3,13.0,62.0,1,165.0,1.0,1,1,1
17714,0SqytkKv6JaFdFw15CpmvFoJHY32,103,1,102.0,1,103.0,65.0,1,170.0,2.0,2,1,1
17817,0T8bORKUWYgUsFSa0Q1uAN5ZFue2,284,0,283.0,1,284.0,66.0,1,160.0,1.0,1,2,2
18101,0Th3KLRqNsSggQtT7hUo3d59vUJ3,156,1,155.0,1,156.0,60.0,1,170.0,2.0,1,2,2
18257,0ToiZIuwAfO2G8G8rZBC5TjaoW72,37,1,36.0,1,37.0,61.0,1,157.0,2.0,1,2,2
18294,0U7rgBsCZOfMGoEgHTHQFpalp4K3,69,1,68.0,1,69.0,56.0,1,162.0,1.0,2,1,1
18363,0UGfjGH5Yqhk2N6I84JE9M3mdHC3,194,0,193.0,1,194.0,68.0,1,170.0,1.0,1,3,2
18557,0UMrlfyhizcsxrODryximRZc1jv2,51,1,50.0,1,51.0,61.0,1,169.0,2.0,2,1,1
18608,0Uke37mUv9dYhtTLIDhI77fF1Nn2,26,1,25.0,1,26.0,54.0,1,168.0,1.0,1,1,1
18634,0Uv7pD03eYOPqdYSAX7XCNksTCv1,26,0,25.0,1,26.0,66.0,1,165.0,2.0,1,2,2
18660,0VKbvKUpDiT4kEkxWR4VCwtTWC73,36,1,35.0,1,36.0,61.0,1,166.0,2.0,1,1,1
18696,0VbPVW2DSLgggfofSiW4s8L7lEi2,128,1,127.0,1,128.0,61.0,1,168.0,2.0,1,1,1
18824,0VvRczEcQBWT4hRbrIKJu57oy2t1,61,1,60.0,1,61.0,52.0,1,158.0,1.0,1,2,2
18885,0W72PLcNfBS43Lu7ZJLjLeNt5ON2,211,0,28.0,3,70.33333333333333,61.0,1,160.0,1.0,1,2,2
19096,0WEYM4ubpWVNZUMycKgaQzIhnCU2,98,1,97.0,1,98.0,67.0,1,170.0,2.0,2,1,1
19194,0WFwWwKF0SQxew6hk6UVmGpYop53,246,1,245.0,1,246.0,60.0,1,170.0,2.0,2,1,1
19440,0WtPRbEm4ZgxRlgw82Iket0RXIa2,28,1,27.0,1,28.0,58.0,1,157.0,1.0,1,1,1
19468,0XBCXTtr41gIX46YssK0XsUzyXk1,45,1,44.0,1,45.0,58.0,1,167.0,1.0,1,1,1
19513,0XIrVltEGGX2N5AMIG8Sshm3I4w2,83,1,82.0,1,83.0,54.0,1,157.0,1.0,1,1,1
19596,0XR4tx8gFVgkkAkdDLOHAcXRm4w2,25,1,24.0,1,25.0,52.0,1,171.0,3.0,1,1,1
19621,0Y5JHIOUfpZrKT1pMCzIbdMeHCH3,351,0,281.0,2,175.5,68.0,1,161.0,2.0,2,1,1
19972,0YBvOBexa3cbtl1tqYVh7Sjn05h1,109,0,108.0,1,109.0,60.0,1,163.0,1.0,1,1,1
20081,0YFrIs7EhDZ2TYKYrX1yK12GKgt2,122,1,121.0,1,122.0,66.0,1,163.0,2.0,1,2,2
20203,0ZYL68HhyCYHNMx27tLpT8apeIv1,93,1,92.0,1,93.0,60.0,1,170.0,3.0,1,2,2
20296,0Zsp9QGMYuZ4JAzkXv1JGQJOqUs2,45,1,44.0,1,45.0,67.0,1,158.0,2.0,1,1,1
20341,0a34AYz8uIRUu3SXdvDj4wg0lXZ2,95,1,61.0,4,23.75,59.0,1,167.0,1.0,1,2,2
20436,0aAXf1Rg5Bex7FXptXGUvyXRNxJ2,60,1,59.0,1,60.0,62.0,0,163.0,2.0,1,1,1
20496,0aaVC4nSPxMvo2oNU4h3f1Jbhbe2,100,1,44.0,3,33.333333333333336,62.0,1,171.0,1.0,1,1,1
20596,0ab2Gx03MbTAqaO2jTtNdBOhnZp2,92,1,91.0,1,92.0,64.0,1,163.0,3.0,1,1,1
20688,0bKaswABluaGO9dyJ9yFixjwpkV2,21,1,19.0,1,21.0,51.0,1,167.0,3.0,1,2,2
20709,0bct2XSqZmaCMlhGkeppQwxJGmf1,26,1,25.0,1,26.0,66.0,1,156.0,1.0,1,1,1
20735,0btb0k5KeeZwpSB7BsVWzIdRhyF3,127,1,126.0,1,127.0,60.0,1,174.0,2.0,1,2,2
20862,0cI1hjRke1Z9qualh4oWevffJJj2,23,1,22.0,1,23.0,52.0,1,162.0,1.0,1,1,1
20885,0cNmBRCYungPnsWl0Rp7XCxeWSQ2,188,0,187.0,1,188.0,68.0,1,170.0,2.0,1,1,1
21073,0cazOmOh7yWtHBfUgvl7EmUk5pe2,89,1,88.0,1,89.0,65.0,1,160.0,2.0,1,1,1
21162,0cpCmTHjMKM3EqOPLN5kbC7sSLz2,175,0,174.0,1,175.0,54.0,0,175.0,2.0,1,2,2
21337,0dMyZdJu48T3ZdXDdlrjm280svR2,101,0,17.0,6,16.833333333333332,55.0,1,171.0,1.0,1,1,1
21438,0dpmMGY5uhd50SBm3aJbVL3uIi63,26,1,25.0,1,26.0,59.0,1,169.0,1.0,1,1,1
21464,0eEZcy78LIXhn5MbR9NqB58WDgk1,67,1,66.0,1,67.0,65.0,1,170.0,2.0,1,2,2
21531,0eHeUglmCBe6UolneszLna8spRo1,27,1,26.0,1,27.0,54.0,0,180.0,1.0,1,2,2
21558,0evEA9JHsYVxcBrd682w3VGTxFZ2,119,1,118.0,1,119.0,49.0,0,171.0,2.0,2,1,1
21677,0eydEubKnLTH7VbsiyZxMvZcLQt2,23,1,22.0,1,23.0,61.0,0,174.0,3.0,1,3,2
21700,0fAa2kVa5GdxLpwIMzV9md0Y8Ou1,54,1,53.0,1,54.0,64.0,1,160.0,2.0,1,1,1
21754,0fKu6c8oKDOWswxmo4DPMTYepmT2,43,1,42.0,1,43.0,56.0,1,150.0,1.0,1,1,1
21797,0fMVlamtfSbxRItHabx2e7KujlG2,893,1,892.0,1,893.0,46.0,1,170.0,1.0,1,2,2
22690,0fVBh2VOPSVhr5IR9AFd1biapNm2,100,1,99.0,1,100.0,63.0,1,163.0,2.0,1,2,2
22790,0fbdVHdnMOSeFeFr5sBV73GY40M2,73,1,72.0,1,73.0,69.0,1,170.0,2.0,2,2,2
22863,0fkSj13Y3ZUAfE4E43ZELZXeu043,91,1,90.0,1,91.0,64.0,0,170.0,3.0,1,1,1
22954,0g1ztXgyFjgXjy9vwV9KZDo13N02,96,1,9.0,2,48.0,64.0,1,162.0,1.0,1,1,1
23050,0gGjN96JRqWd3TVCOAHOSIPYQh43,29,1,28.0,1,29.0,56.0,1,161.0,1.0,1,1,1
23079,0gVmg4ZgxOZXSzrUzhxTkukZMnM2,28,1,27.0,1,28.0,57.0,1,159.0,1.0,1,1,1
23107,0gZHnvsEbwgtRnNXyg6auQzfejv1,123,1,122.0,1,123.0,60.0,1,153.0,2.0,1,1,1
23230,0gdV7uRRiNVy1uniyuw9UsrAe3H2,30,1,29.0,1,30.0,65.0,1,163.0,1.0,1,2,2
23260,0ge30KtBbjM4dbwaFa8plpynOl83,102,1,101.0,1,102.0,60.0,1,159.0,2.0,1,2,2
23362,0gooF6BkuIOZRVUx2ZBIVa0b3mn2,74,1,73.0,1,74.0,67.0,1,164.0,2.0,1,2,2
23436,0h8r0OWv8AQySZyQ88SlMAUuajk2,112,1,111.0,1,112.0,66.0,1,160.0,2.0,1,1,1
23548,0hLy7DpmFXRfGP5wGClaTqkuodT2,43,1,42.0,1,43.0,65.0,1,162.0,1.0,1,1,1
23591,0hlTX1moaMSnyx5q7uPLsVa9f7T2,122,1,121.0,1,122.0,61.0,0,170.0,1.0,1,1,1
23713,0iNqPNHVmlSq5rEU9zIejsnIrn12,134,1,133.0,1,134.0,65.0,1,163.0,2.0,2,2,2
23847,0ifkHh9VU4cKYczikQP6pbcf3jj1,119,1,118.0,1,119.0,58.0,1,165.0,3.0,1,1,1
23966,0j6KVOkiSHeQUFuZl6qBf0SThYm1,88,1,87.0,1,88.0,51.0,1,165.0,1.0,1,1,1
24054,0jh5XUcxoXSZqpGks8bn30dELXN2,165,1,30.0,2,82.5,61.0,1,162.0,2.0,1,2,2
24219,0jrpdYsaVAej0QUxW241WNt1OWf1,85,1,84.0,1,85.0,60.0,1,150.0,2.0,1,1,1
24304,0k859kJDzThhXErkz5IKqrsfM0s1,123,1,122.0,1,123.0,69.0,1,173.0,2.0,2,1,1
24427,0kJw0eZkfXNysCYb2tyorhN8JK22,27,1,26.0,1,27.0,61.0,1,168.0,1.0,1,1,1
24454,0kLYaHkbLZMOvTB4MUthWbSTXtc2,92,1,91.0,1,92.0,61.0,1,165.0,2.0,1,2,2
24546,0kqGR0138DXP8zJgqnsQ35jjeMU2,23,1,22.0,1,23.0,57.0,1,155.0,1.0,1,1,1
24569,0kuG3hVG7LTkwI3cogOp4Tfbgpp2,25,1,24.0,1,25.0,56.0,1,165.0,1.0,1,1,1
24594,0l4yDswVZhRdkzajz2AASiW1yjF3,24,1,23.0,1,24.0,58.0,1,151.0,1.0,1,1,1
24618,0lMFcYIQbWa6wKmSYmvOzwFgCLv1,29,1,28.0,1,29.0,62.0,1,170.0,2.0,2,1,1
24647,0lTUzeph7WbjLC75zogjdGXesqC3,158,1,157.0,1,158.0,36.0,1,167.0,2.0,1,2,2
24805,0lgyYCU3aSYeGTjXTHXwcfnmMdh1,164,0,163.0,1,164.0,66.0,1,164.0,2.0,1,2,2
24969,0lhYxxESlOUg0MxYoihwScz5NJC2,102,1,101.0,1,102.0,63.0,1,165.0,2.0,2,1,1
25071,0lqAfRey1acNC6VWm0EdDESOsIB3,190,0,189.0,1,190.0,71.0,1,162.0,2.0,1,2,2
25261,0lquPVQtIaRAicoOLBz3s4QMGeW2,176,0,175.0,1,176.0,63.0,1,157.0,2.0,1,2,2
25437,0lychtKhogM4Z8UNsERc4ENwU1h2,61,1,60.0,1,61.0,64.0,1,170.0,1.0,2,1,1
25498,0mCxyAB28oXWsWWXdmATZcgYB3x1,153,0,152.0,1,153.0,64.0,1,174.0,1.0,1,2,2
