,user_id,total_events,Baja_usuario,events_last_month,total_months,rate_events,age,gender,height,seniors_exercise_level,traits_language_code,os_name,device_type
996613,N9uArTyDIsdfKkCGyJ50PgPco413,2597,0,2596.0,1,2597.0,66.0,1,158.0,2.0,1,2,2
999210,N9uqW0bYOxP4615cSbq4YYExpk43,138,0,23.0,3,46.0,60.0,1,170.0,2.0,1,2,2
999348,NABSzVk4FLN47bkGwZPMvExI0sC3,33,1,32.0,1,33.0,67.0,1,148.0,2.0,2,1,1
999381,NAIbdD5fr6cq5i4lFKMnCD5s31g1,93,1,92.0,1,93.0,62.0,1,165.0,2.0,1,1,1
999474,NANhY9pQH6UmzGJYcIuwMDS73zJ3,49,1,48.0,1,49.0,67.0,1,164.0,2.0,1,2,2
999523,NAVHc6ZQwBM4DRMVQPBwtzWO12u2,133,1,132.0,1,133.0,61.0,1,165.0,1.0,2,2,2
999656,NAXmO8SAVkdw51aQVGJHvvkPz0F3,131,1,130.0,1,131.0,63.0,1,167.0,2.0,2,2,2
999787,NAol5ZTB1ucZwomRYINZnTEfAes1,28,1,27.0,1,28.0,61.0,1,171.0,1.0,1,1,1
999815,NB0GVd1dMMTIvS7kxTvBshaR4W32,126,1,125.0,1,126.0,62.0,1,164.0,2.0,1,2,2
999941,NB7bNYmuB9Xg3HQ8crdcBvIuPH03,508,0,507.0,1,508.0,71.0,0,183.0,3.0,1,2,2
1000449,NBAe9CA1ttMcmqUhe6NAlnZLwVE3,27,1,26.0,1,27.0,57.0,1,164.0,1.0,1,1,1
1000476,NBHP2e6ifcTxZbqKEBXDZ0PlNum1,62,1,61.0,1,62.0,59.0,0,169.0,1.0,1,1,1
1000538,NBTGhk5LIRXcZkYVh06QNX6L3Ly2,109,0,108.0,1,109.0,67.0,1,164.0,1.0,2,1,1
1000647,NBeXew3hYtdjYM8VbHGQyyzGf1z1,40,1,39.0,1,40.0,69.0,1,168.0,1.0,1,1,1
1000687,NBewNOrpkHVTlEFSGVE3NQ2pRxw1,39,1,38.0,1,39.0,57.0,1,160.0,1.0,1,1,1
1000726,NBm4HiPXolOTZaU3Sp8gBztbN2z1,59,1,58.0,1,59.0,61.0,1,169.0,1.0,1,1,1
1000785,NBrTQAExfXVkNy5AHItfjd07X7Y2,30,1,29.0,1,30.0,61.0,1,162.0,1.0,1,1,1
1000815,NByY6PCisrg3YP4qdgpcXJCCBRe2,27,1,26.0,1,27.0,53.0,1,172.0,1.0,1,1,1
1000842,NCFlpAIqDgdoLFTQfGGHXGkNnx33,82,1,81.0,1,82.0,62.0,1,169.0,1.0,1,1,1
1000924,NCLr3YQ4ArgAWWwjQnlZt2DGmQn1,129,1,24.0,5,25.8,65.0,1,161.0,1.0,1,1,1
1001053,NCaLBwYjRVMaS3oswv66E7HyzIO2,36,1,35.0,1,36.0,62.0,0,170.0,1.0,1,1,1
1001089,NCy60MlbHCh0P1IJRNWBcRCUlsU2,133,1,132.0,1,133.0,63.0,1,150.0,2.0,1,2,2
1001222,NCyITNxF8yVXzSbnpTxdtuYjDhq2,34,1,8.0,3,11.333333333333334,61.0,1,169.0,3.0,1,2,2
1001256,NDGbsFq2wNd6Mzk4L198xqEWwUE3,176,0,175.0,1,176.0,72.0,1,170.0,2.0,1,2,2
1001432,NDi9cwwImgS72l0TLKfGDfNK6JJ3,44,1,42.0,1,44.0,59.0,1,162.0,1.0,1,1,1
1001476,NDlS0YRH9hXx5LnsM1B8PUtOT2s1,28,1,27.0,1,28.0,82.0,1,155.0,1.0,1,2,2
1001504,NE8tICUEjecyMZdj5HyKbeVYyyF2,31,1,30.0,1,31.0,56.0,1,157.0,1.0,1,1,1
1001535,NEL5t6ArmwTvyQ8Ajzn45Z7iPPu2,126,1,125.0,1,126.0,66.0,1,167.0,2.0,2,2,2
1001661,NEdhj8Z1TwSBz4u2SG0kruv6atJ2,198,1,197.0,1,198.0,61.0,1,178.0,2.0,2,1,1
1001859,NEhSGtl3rKRLY7HZkAPbLgeaJCG2,9,1,8.0,1,9.0,60.0,1,170.0,3.0,1,1,1
1001868,NEkuQU9iN6QLyK7VZEVNzO9txzp2,41,1,40.0,1,41.0,58.0,1,169.0,1.0,1,1,1
